,table_schema,table_name,column_name,data_type,character_maximum_length
0,main,account,Key,VARCHAR,
1,main,account,ParentId,VARCHAR,
2,main,account,Name,VARCHAR,
3,main,account,UNARY_OPERATOR,VARCHAR,
4,main,account,AccountType,VARCHAR,
5,main,account,CalculationMethod,VARCHAR,
6,main,account,DebitCredit,VARCHAR,
7,main,account,LineItemRequired,VARCHAR,
8,main,account,NonLeafInput,VARCHAR,
9,main,account,NumericFormat,VARCHAR,
10,main,account,PreventDataEntry,VARCHAR,
11,main,account,TCMethod,VARCHAR,
12,main,account,TCFormulaMDX,VARCHAR,
13,main,account,ProceduralCalc,VARCHAR,
14,main,account,CurrencyConversionMethod,VARCHAR,
15,main,customer,Key,VARCHAR,
16,main,customer,ParentId,VARCHAR,
17,main,customer,Name,VARCHAR,
18,main,customer,Channel,VARCHAR,
19,main,customer,Channel Parent,VARCHAR,
20,main,customer,Customer Since,VARCHAR,
21,main,customer,Industry,VARCHAR,
22,main,customer,Location,VARCHAR,
23,main,customer,Sales Manager,VARCHAR,
24,main,customer,Salesperson,VARCHAR,
25,main,other,Key,VARCHAR,
26,main,other,ParentId,VARCHAR,
27,main,other,Name,VARCHAR,
28,main,product,Key,VARCHAR,
29,main,product,ParentId,VARCHAR,
30,main,product,Name,VARCHAR,
31,main,product,Product Line,VARCHAR,
32,main,time,Name,VARCHAR,
33,main,time,Month,VARCHAR,
34,main,time,StartPeriod,VARCHAR,
35,main,time,EndPeriod,VARCHAR,
36,main,time,Year,VARCHAR,
37,main,time,Quarter,VARCHAR,
38,main,time,FiscalQuarterNumber,VARCHAR,
39,main,time,FiscalMonthNumber,VARCHAR,
40,main,time,MonthAbbreviation,VARCHAR,
41,main,time,FiscalMonthAbbreviationWithYear,VARCHAR,
42,main,time,MonthWithYear,VARCHAR,
43,main,time_perspective,Key,VARCHAR,
44,main,time_perspective,ParentId,VARCHAR,
45,main,time_perspective,Name,VARCHAR,
46,main,time_perspective,CalculationMethod,VARCHAR,
47,main,time_perspective,MemberType,VARCHAR,
48,main,version,Key,VARCHAR,
49,main,version,ParentId,VARCHAR,
50,main,version,Name,VARCHAR,
51,main,version,VersionType,VARCHAR,
52,main,version,Status,VARCHAR,
53,main,version,RuleSet,VARCHAR,
54,main,version,StartPeriod,VARCHAR,
55,main,version,EndPeriod,VARCHAR,
56,main,version,CarryForward,VARCHAR,
57,main,version,CalculationMethod,VARCHAR,
58,main,version,ReferenceVersion,VARCHAR,
59,main,version,TimeLevel,VARCHAR,
